,Country_Name,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
32,Afghanistan,0.583,-0.237,0.213,0.21,0.361,-0.048,0.49,0.988,-0.122,0.847,-0.058,-0.214,0.292,0.554,0.474,-0.016,0.592,0.795,1.301,1.109,1.366,1.384,0.615,1.427,0.491,1.78,0.736,0.804,0.929,1.646,1.446,0.234,1.308,0.457
66,Albania,-0.313,0.237,-0.059,-0.212,-0.042,0.629,-0.049,0.43,-0.005,0.814,-0.263,0.105,0.117,1.37,-0.136,0.003,0.113,0.838,0.722,1.112,1.555,0.492,1.023,0.462,0.255,0.426,1.45,1.103,1.009,1.274,1.108,1.568,1.444,1.322
100,Algeria,0.2,0.388,0.576,0.007,0.513,0.299,0.99,1.346,0.386,1.27,0.034,-0.318,0.541,0.72,0.583,0.823,1.018,1.077,1.456,0.798,1.827,1.222,1.567,0.964,1.238,1.373,1.198,1.164,0.927,2.249,1.39,1.128,1.173,1.676
134,American Samoa,0.172,0.249,0.288,0.255,0.234,0.371,0.33,0.516,0.163,0.516,0.82,0.674,0.196,0.286,0.798,0.772,,,0.243,0.67,0.948,1.196,0.719,0.215,0.844,0.446,0.894,0.46,,1.047,0.642,0.646,0.883,0.554
168,Andorra,0.167,1.048,0.856,-0.159,0.058,0.392,0.353,0.856,1.152,1.724,0.215,0.368,0.175,1.502,1.245,0.535,1.736,0.98,1.02,1.015,1.476,0.828,1.946,0.919,0.835,1.463,0.974,0.891,1.358,0.411,1.617,1.196,0.757,1.857
202,Angola,0.019,0.235,0.597,0.722,0.724,0.199,0.808,0.677,0.097,0.808,0.44,0.606,0.401,0.373,0.88,0.511,0.361,1.264,0.591,0.316,0.425,0.868,1.058,0.558,1.21,0.636,0.955,0.601,0.744,1.303,0.923,0.576,1.09,0.879
236,Anguilla,0.556,0.128,0.505,0.075,-0.04,-0.003,0.539,0.402,-0.1,0.344,0.394,0.36,0.477,0.513,0.661,0.392,0.54,1.126,0.598,0.276,0.611,0.776,0.918,0.549,0.826,0.6,0.876,0.344,0.577,1.107,0.507,0.652,0.778,0.821
270,Antarctica,0.705,-0.032,-0.693,0.129,0.177,-0.271,-0.701,0.953,-0.439,0.287,0.675,0.333,-0.718,-0.056,-0.225,0.81,-0.516,-0.414,-0.558,-0.78,-0.074,1.281,-0.458,0.148,0.855,-0.036,0.71,0.575,1.316,0.84,0.749,-0.202,1.738,0.556
304,Antigua and Barbuda,0.579,0.183,0.45,-0.049,-0.111,-0.094,0.571,0.309,-0.164,0.367,0.485,0.511,0.501,0.438,0.683,0.432,0.591,1.158,0.611,0.384,,0.681,0.9,0.566,0.864,0.561,0.847,0.303,0.482,1.147,0.576,0.682,0.766,0.723
338,Argentina,0.358,0.341,0.029,-0.109,0.292,0.456,0.435,-0.206,0.591,0.422,0.256,-0.253,0.084,0.486,0.254,0.515,0.762,0.35,0.158,-0.187,0.415,0.28,0.615,0.421,0.228,0.547,-0.219,0.55,0.793,0.102,0.36,0.787,0.437,0.951
372,Armenia,,,,,,,,,,,,-1.294,-0.947,0.479,0.708,0.499,0.672,1.371,1.527,1.038,1.412,1.125,0.117,1.144,0.51,1.627,0.682,0.811,0.681,2.805,0.676,1.272,1.407,1.258
406,Aruba,0.379,0.355,0.681,0.147,-0.207,-0.042,0.692,0.453,-0.151,0.122,0.364,0.523,,0.336,0.589,0.689,0.387,1.13,0.216,-0.069,0.531,0.688,0.796,0.338,0.493,0.49,0.867,0.276,0.703,1.25,0.354,0.554,1.017,0.804
440,Australia,0.466,0.159,0.608,-0.186,0.323,0.358,0.329,0.932,0.132,0.534,0.806,0.268,0.466,0.199,0.398,0.582,0.363,1.062,0.56,0.124,0.311,0.706,0.807,0.698,1.181,0.683,0.887,0.582,0.986,0.624,0.156,0.258,1.459,1.166
474,Austria,0.279,0.389,1.068,-0.242,-0.56,0.325,-0.256,0.827,1.11,1.268,0.13,1.25,0.529,1.962,0.943,-0.198,0.517,1.347,0.985,1.768,1.504,1.539,1.473,0.839,0.638,0.921,2.15,1.593,1.552,0.662,1.381,1.791,1.103,2.427
508,Azerbaijan,,,,,,,,,,,,-0.823,-1.003,0.105,1.023,0.259,0.606,1.204,1.242,1.115,1.425,1.416,-0.125,1.331,0.879,1.528,0.98,0.928,0.799,2.356,0.768,1.475,1.565,1.242
542,Bahamas,-0.037,0.524,0.201,0.082,0.301,0.291,0.524,0.49,0.731,0.832,0.845,0.349,0.439,0.862,0.736,0.084,0.859,1.011,0.704,0.29,0.229,0.952,1.096,0.42,0.48,0.424,0.973,0.893,0.494,0.399,0.453,0.452,0.677,0.994
576,Bahrain,0.319,-0.214,-0.988,-0.12,0.215,0.505,0.374,0.452,-0.139,0.164,-0.442,-0.739,-0.074,0.792,0.038,0.476,0.152,1.205,1.882,1.05,1.136,1.492,1.157,1.274,0.945,1.682,0.885,1.127,1.017,1.993,1.207,1.152,1.274,1.67
610,Bangladesh,-0.208,-0.062,-0.15,-0.332,0.047,0.027,0.33,0.328,0.094,-0.167,-0.021,-0.115,-0.403,0.203,0.176,0.146,-0.158,0.486,0.74,0.209,0.339,0.4,0.251,0.291,0.631,0.845,0.337,0.129,0.915,0.849,0.176,0.343,0.267,0.482
644,Barbados,0.065,-0.077,0.051,-0.266,-0.453,-0.327,0.371,0.229,0.058,0.198,0.263,0.183,0.256,0.261,0.384,0.257,0.287,1.103,0.498,0.349,0.563,0.531,0.781,0.564,0.998,0.723,0.573,0.227,0.357,1.091,0.615,0.432,0.786,0.447
678,Belarus,,,,,,,,,,,,1.271,0.023,1.139,1.498,-0.276,0.358,0.704,1.504,1.94,1.977,1.891,0.08,0.926,1.271,0.642,2.357,2.247,1.593,1.434,0.989,1.526,1.169,2.137
712,Belgium,,,,,,,,,,,,,,,,,,,,1.468,1.317,1.378,1.505,1.07,1.178,1.379,1.864,1.238,1.142,0.215,1.268,1.113,0.449,2.399
746,Belgium-Luxembourg,0.191,0.507,0.836,-0.037,-0.817,-0.134,-0.408,0.742,1.432,1.48,0.25,1.004,0.349,1.591,1.488,-0.512,0.666,1.012,1.428,,,,,,,,,,,,,,,
