Country Name,Country Code,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Average
Africa Eastern and Southern,AFE,51.34257943,52.57811841,52.26371753,52.92614236,52.20159518,52.19017859,52.90092884,52.59569061,50.54489838,50.07072273,50.49355346,47.96650668,49.28068471,48.8116183,49.4445246,48.65646674,48.60843976,47.73347751,47.92847167,46.94725174,47.43574595,46.19521812,47.27177854,48.86205833,48.60696669,48.24439321,49.55117156,50.8885624,49.88287297,49.03532859,48.30386239,47.57241299,46.89518023,49.30429209,49.51574739
Africa Western and Central,AFW,21.99186138,23.18088837,22.63397854,21.1920063,21.30072102,20.40763249,21.05506734,20.64604129,21.12918179,20.73615135,21.59448259,22.46633088,21.97567824,18.63309325,18.59759806,20.02825379,20.41243335,19.51588133,20.49925163,20.85686294,21.99654048,22.23309518,23.28590336,22.57797875,22.67614909,21.33475188,20.67407703,21.40878212,19.98877361,21.9468786,22.61050613,23.05394242,23.08163489,23.47127803,21.44687316
Angola,AGO,19.15939481,16.61654958,17.62340548,17.06524881,20.30757411,19.89128882,20.38423602,22.0179649,22.10325106,25.48038842,25.48286109,24.09807593,24.96466182,24.43968302,22.78019633,23.49809695,23.87447372,22.12486544,24.71441292,25.22005192,26.67929998,28.14780415,31.72142412,31.56163719,27.08377147,31.67467436,34.74247582,37.96075957,41.79933124,42.99251503,43.8497839,48.01005977,46.50855392,48.30559301,28.32012837
Albania,ALB,78.03791049,77.83653444,78.87594412,81.09747747,81.43376238,77.05831274,78.63751137,80.38140353,79.69381231,76.59397508,69.82499607,56.07929065,53.47897796,54.8469148,49.54164119,45.45376374,41.44934024,45.2948183,58.23879385,58.71509801,60.95582784,63.23313038,64.52837122,65.57827326,66.48668055,64.4559899,65.12239247,63.84717579,63.4217264,63.23900375,61.50276527,57.75408172,56.39533881,61.42180139,64.72096581
Arab World,ARB,91.57370409,92.24483063,93.26320586,93.38499004,92.87900068,93.41555509,93.67183336,94.28902492,94.40860245,93.85562463,92.74238734,94.14939376,94.46996178,94.15898926,94.87096635,94.8639233,95.00692383,94.85585825,94.64784845,94.99382528,95.19902384,94.78076732,95.19202299,95.19132121,95.17014527,95.44927661,96.12584384,96.46673111,96.21598654,95.89111881,94.96438725,95.01932949,96.22709585,95.47834279,94.56228948
United Arab Emirates,ARE,,,99.99998926,99.99999172,,100,100,100,100,100,,99.85522171,99.88737141,99.90964437,99.91496754,99.93960629,99.94282166,99.94641398,99.94752516,99.9463267,99.95791015,99.95756782,99.95686804,99.94023556,99.93717685,99.92993397,99.92517547,99.92683097,,,91.67558547,90.10453743,93.6148829,86.12834902,98.58374762
Argentina,ARG,90.01718166,90.44518435,89.16188634,88.45826409,87.15639951,88.45046972,88.16165855,90.18100613,91.37925099,88.65260513,88.85473896,88.80594542,87.68722886,87.00193544,87.09209567,87.69628353,86.89501343,86.78511763,88.27912241,88.38751029,85.99454411,85.80340795,86.01471381,89.32496763,89.05328415,88.65322796,89.22537849,90.65178935,89.61199315,89.50324321,88.85381112,89.02490707,88.96606441,87.72240748,88.46919524
Australia,AUS,92.7755789,92.92544559,92.84942864,93.20671426,92.87885473,93.42174246,93.73860918,93.57842828,93.85217111,93.91128569,93.68871804,94.34266007,93.75834561,93.88648312,93.83177017,93.64822076,93.51265089,93.87865071,93.92791207,89.32816819,98.05308843,95.89021479,93.88602451,94.06821267,94.21585218,94.28316545,94.29310395,94.35148823,95.51005853,94.42474222,94.42165586,94.37700612,93.70804882,93.38683566,93.876804
Austria,AUT,83.96376022,82.74158706,82.44589222,81.83511433,81.04281229,79.74839656,79.57885811,74.69315383,76.54434928,79.13234543,79.12700716,77.23721117,77.01114249,77.58570758,77.98279868,78.19818694,78.41612405,78.51556371,76.60732845,76.53529223,76.89638903,77.31087417,78.1444293,77.69929366,77.03042943,74.69833424,72.62977854,71.5548631,69.83650772,70.26705703,69.1541834,67.30250679,66.25380351,64.81315647,76.25100701
Belgium,BEL,92.03893617,89.88439231,84.38106338,82.66877761,79.1509524,77.06576913,76.44918324,76.08510889,77.01784999,75.81586996,76.39700683,75.93220102,75.93501516,77.64937481,77.40569753,77.64448379,75.89831874,77.04852705,75.7901429,75.8540864,75.62829263,74.47018148,75.23284587,75.01945859,74.76394898,73.94251149,72.66654993,73.39363209,72.64002312,72.79361704,70.25449593,71.11571411,70.8203058,72.65250484,76.51490704
Benin,BEN,7.291784698,8.537323903,8.283183918,8.485301614,10.15165973,8.716482354,7.521614691,7.277810088,5.457824396,4.838998023,3.854705081,3.93128468,3.835510654,3.865559423,3.780880657,13.33205008,17.32187486,17.33049548,21.00728423,25.48618782,27.46527702,29.64712259,32.0774443,32.8223794,31.04976023,36.32541119,39.66925034,39.07586139,39.80167892,41.55418574,39.43086778,36.17277074,36.47506881,36.72458133,20.25292577
Bangladesh,BGD,32.71261599,34.96024073,33.38567736,34.91556523,37.32672746,39.08684745,43.8731951,44.18503533,45.0727052,45.52428698,44.67103918,46.72802762,49.45684214,50.25109694,54.40918593,56.07741741,56.57335085,57.62886784,57.27512604,57.94291987,60.7230371,61.04664093,62.3942704,62.48464734,63.34035291,65.33087795,66.41712545,67.58003802,69.00602698,70.96940448,71.64883909,72.68378039,72.86167193,73.76893795,54.77389475
Bulgaria,BGR,88.04475754,87.47751672,86.37279483,86.13704995,85.65053494,86.75327583,86.78503772,84.21011574,84.92396832,84.12115557,81.87300483,82.48892414,81.91968186,79.84780036,78.77100169,77.48124012,76.82164659,76.14153183,74.73726206,72.38504117,73.14546314,70.46655611,74.09060224,73.97692939,72.96125478,72.47924391,77.72065833,76.14213638,73.02381788,73.16454291,75.0439513,72.18710039,70.20847929,71.04592252,78.48823531
Bahrain,BHR,99.99996778,,100,100,99.99997597,100,,100,99.99997972,99.82209057,,99.91785255,,99.97064929,99.99998445,99.94205771,,99.93882341,,,99.954494,,99.05888346,,,,97.83177195,,99.78244843,,98.78594551,,,99.36584717,99.70372484
Bolivia,BOL,64.84839392,64.44946367,60.80168506,60.67224237,59.60095792,56.75695871,66.1620903,64.00658556,67.60317378,67.20305862,66.51871394,69.20822225,68.57968935,71.49556907,74.22273214,76.49405639,78.34940725,78.77728042,78.1339915,82.55108852,77.19835064,80.86023884,81.99133613,81.62470717,83.27413782,85.95852752,82.04786586,82.60450095,80.95941748,82.32042868,82.99562133,83.52557303,84.18089928,84.15328999,74.41559575
Brazil,BRA,52.90703672,52.55057472,49.6534027,47.40273205,48.2133632,50.00810055,49.50270933,49.97924017,49.83301128,51.21583027,51.95474511,52.68438588,53.26424997,53.26672895,54.60825221,56.26743393,56.68118402,57.34050814,57.28867439,58.23206392,58.94968977,57.15399761,54.64132844,54.6982243,54.25232116,53.42289188,52.66064026,52.56946061,51.31850799,53.48790284,54.56870942,56.54889227,58.01808225,59.10753264,53.65448262
Brunei Darussalam,BRN,99.33121718,99.42918616,99.50801909,99.61514168,99.67310818,99.67353395,99.7264355,99.72447581,99.80903731,99.86999736,99.92175021,99.96137488,,,100,,,,,,,99.9999073,100,100,100,100,100,,99.99993427,,99.99563633,99.9955353,99.99437899,99.99518847,99.84266075
Botswana,BWA,50.97741492,50.83979965,48.82302333,47.92653759,48.67874113,51.44908168,53.93444179,54.89192202,56.65302917,64.83448563,62.16777964,65.3100088,63.96703942,61.95490733,63.05320083,60.17227447,60.63283851,63.70149532,64.85003416,65.11338653,64.7836332,65.37722141,64.14482681,65.6905938,66.83188661,66.82997336,66.00371814,66.6560959,63.05156961,64.83608167,62.26252518,65.78999287,68.82603295,74.68798407,61.34422287
Canada,CAN,79.51384386,79.06654511,77.00906144,76.84892407,75.4065927,73.56401829,73.79490756,74.02295139,75.05195139,73.60549156,72.29038202,73.43636302,72.57768592,71.6982666,72.52018144,73.23708495,74.7361058,75.88275618,75.63775473,76.10257181,76.15495344,75.16336686,76.54703877,75.19713565,75.74513789,74.56307191,74.73558379,75.07600268,75.06600051,75.38539269,74.69174698,74.43947915,73.17351572,73.19287432,74.85690412
Central Europe and the Baltics,CEB,96.55742896,96.55668898,96.21906218,95.74603926,95.01893745,94.51202461,94.02746948,93.29783739,93.22472289,89.25330505,88.74399056,88.52183425,87.65971908,86.96654717,86.79288364,86.35280844,85.71687481,85.45168272,85.16067309,84.74255216,84.67572611,83.91131137,83.95075142,83.26790699,83.18497664,83.39174072,83.06888313,81.70598525,79.88391258,80.25491985,80.09576321,78.56672776,77.70767866,76.24536377,86.77749205
Switzerland,CHE,65.79670372,64.34925893,65.60011736,63.10152148,60.78701991,61.78010412,59.89166127,60.1091478,58.75921407,58.47535736,58.67384013,58.75908141,57.53645147,57.52886307,55.90274102,56.14527062,57.20746852,56.88829482,55.80758728,54.35917144,56.01906198,54.45185282,53.7761111,53.96556489,55.46078234,53.83805101,51.49093203,52.51119511,53.23807768,51.55355017,50.38877908,50.91662817,52.10555859,48.74185988,56.64461414
Chile,CHL,73.99479201,70.22013963,68.43689793,68.27018631,66.81436034,66.70517494,65.91298983,69.30602801,73.8084514,72.15647687,68.03674236,66.35600413,68.074028,69.82379099,70.00781441,72.39165888,74.6555643,75.52716036,77.1642196,74.51149695,73.10697125,73.20071836,74.56344116,75.18353618,74.24470723,74.00914851,76.0264465,75.18426695,73.47402668,77.60667223,76.67911718,70.03944215,68.64980209,73.25054383,71.98214169
China,CHN,68.38124887,68.8731857,69.60648101,71.16390607,71.56748106,72.22460589,73.23571056,74.23521668,74.31739395,75.70916065,74.8319676,75.43198361,76.46878729,77.04504013,78.42785838,78.98587561,78.93511417,78.99403588,79.4000084,79.84135584,80.19740227,81.20212523,83.22975774,84.79645465,85.872736,86.82834222,87.40785733,87.22405182,87.63569469,88.25519867,88.89836293,88.41916221,88.23749257,87.67043077,79.51622019
Cote d'Ivoire,CIV,30.9911822,28.32559159,25.91794932,26.21690705,24.94553321,30.38335536,29.866598,28.36451752,27.58919304,23.70435049,23.32147422,27.59821797,28.55316939,28.24525708,25.15002986,32.01815313,32.10809865,30.82691939,40.89197809,37.13014926,34.29839715,37.84871563,32.50144051,24.9305733,25.39125672,21.44916428,24.25328525,24.61665796,22.71780363,23.23150743,20.86776164,24.68015408,26.6581215,26.49233002,28.00252335
Cameroon,CMR,16.52780829,17.77061847,18.60923336,19.17678584,20.01407447,19.27247696,18.82242346,19.16950949,19.92277549,18.7105213,17.38854825,16.11054363,16.65420131,16.90453879,16.07419445,15.68953898,16.15444972,16.36026926,14.6517909,16.30728639,15.52265808,15.81143353,16.64589756,16.68841249,15.33399116,17.04219421,28.88515826,27.62178047,30.89290482,31.16396337,29.73959214,35.27203752,35.7817563,38.31785719,20.73562429
"Congo, Dem. Rep.",COD,12.27869781,9.737507071,12.27303528,13.70455037,10.67187659,9.451565389,10.1922951,10.5235119,8.986425036,11.1623528,8.779668507,7.866010165,7.351352329,4.710080753,5.493197164,5.815207924,4.766045299,4.125985415,3.086504486,2.036553247,1.639733291,1.714585084,2.015286661,2.112644231,2.546349612,2.678500494,2.873759641,3.067486181,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,5.98756954
"Congo, Rep.",COG,38.15838283,39.54234328,43.96831526,40.38453158,41.00761394,38.41906071,37.68925001,34.3363957,35.03900976,34.25540049,35.2060367,33.01862048,32.09623019,20.37155024,29.64774282,22.03410396,18.56354688,15.8249149,16.68382563,26.22458697,29.376962,24.25694895,32.50949847,32.29916434,33.30971621,28.97443254,35.15468123,35.49801146,40.25490475,42.0429919,36.59055252,41.47229036,41.60714156,40.48060338,33.12645182
Colombia,COL,67.03205163,66.76910379,67.7744744,67.35088966,66.48772761,67.82561328,67.70264122,67.4781753,66.59543128,67.37966457,68.22121389,70.80867713,70.36132127,69.18074733,69.51032207,69.90407976,75.85067815,77.26166214,73.52906728,76.01413926,76.67612827,74.94785653,73.97276515,74.9256406,75.92287113,75.27958214,74.41022167,74.9778164,77.30712698,76.95310387,75.71843548,75.54988015,76.76212718,76.68569263,72.15079204
Costa Rica,CRI,56.10679584,54.97078514,52.94101017,52.07951755,53.08855794,53.33236728,54.69525333,54.54787436,58.37955936,58.51363363,59.397972,58.76441408,58.57040387,57.93665153,59.28411092,57.25565494,58.91862494,63.72876919,61.00568975,59.02715912,57.21194443,55.00195317,56.59465626,47.9928658,46.89102785,47.72020792,49.06389155,48.9982241,48.07062372,47.51590421,48.26480979,47.88482987,49.37779479,49.88027273,54.20628856
